,subj,dotmode,di,dur,x,y,ntrials
89,ALL,2d,18,2.75,0.5,0.9865470852017937,223.0
90,ALL,2d,19,3.566666666666667,0.03,0.6170212765957447,235.0
91,ALL,2d,19,3.566666666666667,0.06,0.9604743083003953,253.0
92,ALL,2d,19,3.566666666666667,0.12,0.9421768707482994,294.0
93,ALL,2d,19,3.566666666666667,0.25,1.0,306.0
94,ALL,2d,19,3.566666666666667,0.5,1.0,312.0
95,ALL,2d,20,4.616666666666666,0.03,0.6537216828478964,309.0
96,ALL,2d,20,4.616666666666666,0.06,0.8614609571788413,397.0
97,ALL,2d,20,4.616666666666666,0.12,0.9325301204819277,415.0
98,ALL,2d,20,4.616666666666666,0.25,1.0,362.0
99,ALL,2d,20,4.616666666666666,0.5,1.0,407.0
100,ALL,3d,1,0.03333333333333333,0.03,0.5333333333333333,900.0
101,ALL,3d,1,0.03333333333333333,0.06,0.4759467758444217,977.0
102,ALL,3d,1,0.03333333333333333,0.12,0.47468354430379744,948.0
103,ALL,3d,1,0.03333333333333333,0.25,0.5203336809176226,959.0
104,ALL,3d,1,0.03333333333333333,0.5,0.5280748663101604,748.0
105,ALL,3d,2,0.05,0.03,0.5228290062667861,1117.0
106,ALL,3d,2,0.05,0.06,0.5724838411819021,1083.0
107,ALL,3d,2,0.05,0.12,0.5579044117647058,1088.0
108,ALL,3d,2,0.05,0.25,0.4695837780149413,937.0
109,ALL,3d,2,0.05,0.5,0.6029539530842746,1151.0
110,ALL,3d,3,0.06666666666666667,0.03,0.47925311203319504,964.0
111,ALL,3d,3,0.06666666666666667,0.06,0.5207920792079208,1010.0
112,ALL,3d,3,0.06666666666666667,0.12,0.541002277904328,878.0
113,ALL,3d,3,0.06666666666666667,0.25,0.5505735140771637,959.0
114,ALL,3d,3,0.06666666666666667,0.5,0.5994659546061415,749.0
115,ALL,3d,4,0.08333333333333333,0.03,0.5621951219512196,820.0
116,ALL,3d,4,0.08333333333333333,0.06,0.5577190542420027,719.0
117,ALL,3d,4,0.08333333333333333,0.12,0.5182849936948297,793.0
118,ALL,3d,4,0.08333333333333333,0.25,0.6486796785304249,871.0
119,ALL,3d,4,0.08333333333333333,0.5,0.7193149381541389,1051.0
120,ALL,3d,5,0.1,0.03,0.4961779013203614,1439.0
121,ALL,3d,5,0.1,0.06,0.5021834061135371,1374.0
122,ALL,3d,5,0.1,0.12,0.5875265768958186,1411.0
123,ALL,3d,5,0.1,0.25,0.6464718460441911,1403.0
124,ALL,3d,5,0.1,0.5,0.8072487644151565,1214.0
125,ALL,3d,6,0.13333333333333333,0.03,0.5788923719958202,957.0
126,ALL,3d,6,0.13333333333333333,0.06,0.6227544910179641,1169.0
127,ALL,3d,6,0.13333333333333333,0.12,0.612933458294283,1067.0
128,ALL,3d,6,0.13333333333333333,0.25,0.7131552917903067,1011.0
129,ALL,3d,6,0.13333333333333333,0.5,0.8181818181818182,1012.0
130,ALL,3d,7,0.16666666666666666,0.03,0.5405857740585774,1195.0
131,ALL,3d,7,0.16666666666666666,0.06,0.6173752310536045,1082.0
132,ALL,3d,7,0.16666666666666666,0.12,0.6397248495270851,1163.0
133,ALL,3d,7,0.16666666666666666,0.25,0.7689422355588897,1333.0
134,ALL,3d,7,0.16666666666666666,0.5,0.8664921465968587,1528.0
135,ALL,3d,8,0.21666666666666667,0.03,0.4650735294117647,1088.0
136,ALL,3d,8,0.21666666666666667,0.06,0.603739982190561,1123.0
137,ALL,3d,8,0.21666666666666667,0.12,0.6745138178096213,977.0
138,ALL,3d,8,0.21666666666666667,0.25,0.8004362050163577,917.0
139,ALL,3d,8,0.21666666666666667,0.5,0.8583042973286876,861.0
140,ALL,3d,9,0.26666666666666666,0.03,0.565593087195601,1273.0
141,ALL,3d,9,0.26666666666666666,0.06,0.6459412780656304,1158.0
142,ALL,3d,9,0.26666666666666666,0.12,0.6871345029239766,1368.0
143,ALL,3d,9,0.26666666666666666,0.25,0.8292682926829268,1230.0
144,ALL,3d,9,0.26666666666666666,0.5,0.9144838212634823,1298.0
145,ALL,3d,10,0.35,0.03,0.5175766641735228,1337.0
146,ALL,3d,10,0.35,0.06,0.5969387755102041,1372.0
147,ALL,3d,10,0.35,0.12,0.6534926470588235,1088.0
148,ALL,3d,10,0.35,0.25,0.8519148936170213,1175.0
149,ALL,3d,10,0.35,0.5,0.9222126188418324,1157.0
150,ALL,3d,11,0.45,0.03,0.5065274151436031,1149.0
151,ALL,3d,11,0.45,0.06,0.6400693842150911,1153.0
152,ALL,3d,11,0.45,0.12,0.6910678307588985,1489.0
153,ALL,3d,11,0.45,0.25,0.8160237388724035,1348.0
154,ALL,3d,11,0.45,0.5,0.9357495881383855,1214.0
155,ALL,3d,12,0.5833333333333334,0.03,0.5535714285714286,1232.0
156,ALL,3d,12,0.5833333333333334,0.06,0.6559139784946236,1302.0
